metric,k,mean,std,n
recall,5,8.85512038219783e-05,0.00044280003396443026,100
ndcg,5,0.32589324431458416,0.3338626700993254,100
ec,5,0.0,0.0,100
ild,5,1.0,0.0,100
recall,10,0.00018130039955344308,0.0010855642529554283,100
ndcg,10,0.3286887992706727,0.31616189600631195,100
ec,10,0.0,0.0,100
ild,10,1.0,0.0,100
recall,20,0.0002608160311454753,0.001299405353447783,100
ndcg,20,0.3290689294283151,0.3055462104829174,100
ec,20,0.0,0.0,100
ild,20,1.0,0.0,100
