model,query_song_id,query_title,query_artist,rec_song_id,title,artist,year,genre,rank,model_score,emotion_similarity,emotion_similarity_pct,year_gap
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,7f648ad6501f9d95eff9f002913a918b1f0e3898,Hello,Stephen,2015,rock,1,0.967343270778656,0.9922111630439758,99.22111630439758,0
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,a902cb8a4219e38ae249c728e03db3f534b25ba8,Never Gone,Backstreet Boys,2005,pop,2,0.8849424123764038,0.9819455742835999,98.19455742835999,10
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,649b056237b539229e75daf3a0b5ce3e8e3eddae,Monday,The Regrettes,2021,pop,3,0.8940863609313965,0.9887039065361023,98.87039065361023,6
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,1a6f33a49e7d21667cbf305c19160e5a5738d938,Whole Lives,Jake Scott,2018,pop,4,0.902360200881958,0.9867240786552429,98.67240786552429,3
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,2f429fb6090283a17621070676268f2f529c65bc,Heartbeats,Tom Walker,2019,pop,5,0.899333119392395,0.9723444581031799,97.234445810318,4
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,8ed3f98fc6a058fee0f97dc2b989d63e1cc618de,Como,Bryce Bishop,2019,pop,6,0.8986824750900269,0.9846741557121277,98.46741557121277,4
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,fdd96dc4fe41fcabecef02376dd6131da0867891,Younger,Ruel,2018,pop,7,0.8792377710342407,0.9606484770774841,96.06484770774841,3
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,df6ed283aeea1badf65207d5a8cc8f6bac639059,Waiting For Too Long,Ezio,2003,pop,8,0.8749776482582092,0.9749948382377625,97.49948382377625,12
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,f200b226d062884f3c7b914788689c4eca9c30fd,​last time: cinematic,Little Luna,2022,pop,9,0.890441358089447,0.9922188520431519,99.22188520431519,7
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,37202c0b47a13eae2703cb3dbb0d61573a4345da,Hello,Bars and Melody,2016,pop,10,0.894446074962616,0.9355689883232117,93.55689883232117,1
