model,query_song_id,query_title,query_artist,rec_song_id,title,artist,year,genre,rank,model_score,emotion_similarity,emotion_similarity_pct,year_gap
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,f877cd9065ac98489df01258b7f5a9f30748de75,Hello,Dayseeker,2015,rock,1,0.9999994039535522,0.9911854267120361,99.11854267120361,0
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,eb7b6ef9bde97301d03be0a1c9c242e81164d132,How It Ends,Emily Warren,2018,pop,2,0.9999925494194031,0.7915530204772949,79.15530204772949,3
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,83594a2f74c66c111701370452f08eb71c15e878,Be Fine,Madeon,2019,pop,3,0.9999918937683105,0.6721596121788025,67.21596121788025,4
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,8a0072b44e59f2e1082a1bb1246588467043f269,Get To Know Ya,Casey Barnes,2022,country,4,0.9999916553497314,0.9603306651115417,96.03306651115417,7
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,52b1f58e3e5358b349292ce097c8da13ac1bd42c,One More Second,Marcus & Martinus,2016,pop,5,0.9999916553497314,0.8410886526107788,84.10886526107788,1
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,e41299e93aa561a83d3e0eff18fd4b7bf4e96248,Permanent Sam Feldt Remix,Kygo,2018,pop,6,0.9999916553497314,0.9650896787643433,96.50896787643433,3
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,35a5403f65d2d3578079fabfca23a729f4990fff,Stone Or Lavender,Hiatus Kaiyote,2021,rb,7,0.9999915957450867,0.8475463390350342,84.75463390350342,6
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,f8b446f3f246957fd8b75e9162c03a265c9ae729,Someday,Black Eyed Peas,2010,rap,8,0.999990701675415,0.858039915561676,85.8039915561676,5
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,811ad2b3dae11e9db98d805325d760aef02d4b72,Anything She Does,Genesis,1986,rock,9,0.9999902248382568,0.6927196383476257,69.27196383476257,29
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,ce7ebb84636cbb67da02fa9c0da0f22e3ddb0967,Hello Reggae Cover,Alaine,2015,pop,10,0.9999899864196777,0.9953189492225647,99.53189492225647,0
